image,query_name,generation_mode,seconds,peak_mem_gb,steps,switch_to_ar,accepted_blocks,parsed_boxes,tokens,answer,truncated
000000039769.jpg,detect,hybrid,0.556,8.33,8,0,2,2,2,<ref>person</ref><box><11><115><495><988></box><box><539><52><998><775></box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000039769.jpg,negative,hybrid,0.311,8.33,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000039769.jpg,point,hybrid,0.257,8.33,3,0,0,0,0,<ref>the traffic light</ref><box>None</box><|im_end|>,False
000000057027.jpg,ground_single,hybrid,0.455,8.26,8,1,1,1,1,<ref>person</ref><box><81><52><934><970></box><|im_end|>,False
000000057027.jpg,detect,hybrid,0.435,8.27,7,0,0,0,0,<ref>person</ref><box>None</box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000057027.jpg,negative,hybrid,0.289,8.26,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
000000057027.jpg,point,hybrid,0.231,8.25,3,0,0,0,0,<ref>the traffic light</ref><box><817><593></box><|im_end|>,False
000000141821.jpg,ground_single,hybrid,0.283,8.33,3,0,1,1,1,<ref>person</ref><box><73><0><908><235></box><|im_end|>,False
000000141821.jpg,detect,hybrid,0.724,8.33,13,1,2,2,2,<ref>person</ref><box><0><75><45><329></box><box><73><2><908><233></box><ref>car</ref><box>None</box><ref>bicycle</ref><box>None</box><|im_end|>,False
000000141821.jpg,negative,hybrid,0.246,8.33,3,0,0,0,0,<ref>purple elephant</ref><box>None</box><|im_end|>,False
